# E1 = 1 E2 = 1 E3 = 1 m = 0.05 Eps = 0.5
# Time    Y_1                 Y_2                 Y_3                 
0.005     1.38955             1.50409             1.40352             
0.01      1.3792              1.50812             1.40707             
0.015     1.36894             1.51209             1.41067             
0.02      1.35877             1.51599             1.4143              
0.025     1.3487              1.51982             1.41797             
0.03      1.33873             1.5236              1.42167             
0.035     1.32884             1.52731             1.42541             
0.04      1.31904             1.53095             1.42919             
0.045     1.30933             1.53453             1.433               
0.05      1.2997              1.53805             1.43685             
0.055     1.29016             1.54151             1.44073             
0.06      1.2807              1.5449              1.44465             
0.065     1.27133             1.54823             1.4486              
0.07      1.26204             1.5515              1.45259             
0.075     1.25283             1.5547              1.45661             
0.08      1.2437              1.55785             1.46067             
0.085     1.23464             1.56093             1.46476             
0.09      1.22566             1.56395             1.46888             
0.095     1.21676             1.5669              1.47304             
0.1       1.20794             1.5698              1.47724             
0.105     1.19919             1.57263             1.48146             
0.11      1.19051             1.5754              1.48572             
0.115     1.18191             1.57812             1.49001             
0.12      1.17337             1.58077             1.49433             
0.125     1.16491             1.58335             1.49869             
0.13      1.15652             1.58588             1.50308             
0.135     1.14819             1.58835             1.50749             
0.14      1.13994             1.59076             1.51194             
0.145     1.13175             1.59311             1.51643             
0.15      1.12362             1.5954              1.52094             
0.155     1.11557             1.59763             1.52548             
0.16      1.10758             1.5998              1.53005             
0.165     1.09965             1.60191             1.53466             
0.17      1.09178             1.60396             1.53929             
0.175     1.08398             1.60595             1.54396             
0.18      1.07624             1.60789             1.54865             
0.185     1.06856             1.60976             1.55337             
0.19      1.06094             1.61158             1.55812             
0.195     1.05338             1.61334             1.5629              
0.2       1.04588             1.61505             1.56771             
0.205     1.03844             1.61669             1.57254             
0.21      1.03105             1.61828             1.5774              
0.215     1.02373             1.61981             1.58229             
0.22      1.01646             1.62129             1.58721             
0.225     1.00924             1.62271             1.59215             
0.23      1.00208             1.62407             1.59712             
0.235     0.994981            1.62538             1.60212             
0.24      0.987931            1.62663             1.60714             
0.245     0.980935            1.62783             1.61219             
0.25      0.973992            1.62897             1.61727             
0.255     0.967102            1.63006             1.62236             
0.26      0.960264            1.63109             1.62749             
0.265     0.953477            1.63207             1.63263             
0.27      0.946742            1.633               1.63781             
0.275     0.940057            1.63387             1.643               
0.28      0.933422            1.63469             1.64822             
0.285     0.926836            1.63545             1.65346             
0.29      0.9203              1.63617             1.65873             
0.295     0.913812            1.63683             1.66402             
0.3       0.907372            1.63743             1.66932             
0.305     0.90098             1.63799             1.67466             
0.31      0.894636            1.6385              1.68001             
0.315     0.888338            1.63895             1.68538             
0.32      0.882086            1.63935             1.69078             
0.325     0.875881            1.6397              1.69619             
0.33      0.869721            1.64001             1.70163             
0.335     0.863606            1.64026             1.70708             
0.34      0.857535            1.64046             1.71256             
0.345     0.85151             1.64061             1.71805             
0.35      0.845528            1.64071             1.72356             
0.355     0.839589            1.64077             1.72909             
0.36      0.833694            1.64077             1.73464             
0.365     0.827841            1.64073             1.74021             
0.37      0.822031            1.64064             1.74579             
